2024-11-20 23:02:12.978 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-11-20 23:02:12.978 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2024-11-20 23:02:12.978 [info] Experiment 'pythonTestAdapter' is active
2024-11-20 23:02:12.978 [info] Native locator: Refresh started
2024-11-20 23:02:12.978 [info] Native locator: Refresh started
2024-11-20 23:02:12.997 [info] > pyenv which python
2024-11-20 23:02:12.997 [info] cwd: .
2024-11-20 23:02:13.319 [info] Python interpreter path: /bin/python3
2024-11-20 23:02:14.290 [info] Starting Pylance language server.
2024-11-20 23:02:18.411 [info] Native locator: Refresh finished in 7409 ms
2024-11-20 23:04:39.142 [info] CreateEnv Trigger - Workspace not found for Untitled-1
2024-11-20 23:04:45.132 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/bookbot/.git/Untitled-1.py
2024-11-20 23:28:27.676 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:30:30.299 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:30:34.927 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:30:36.585 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:30:39.410 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:33:09.419 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:34:31.994 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:35:13.845 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:42:54.630 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:44:34.763 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:45:47.751 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:46:11.533 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:46:55.322 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:47:00.717 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:47:55.960 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:49:28.658 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:49:51.056 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:51:23.999 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:51:41.665 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:55:04.018 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:55:04.842 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-20 23:59:13.712 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
2024-11-21 00:00:04.338 [info] Discover tests for workspace name: workspace - uri: /root/workspace/github.com/Johnyboi77/Asteroids/main.py
